Clapeyron Estimator,,
[method=u, species=CCCCC],
T,p,out_u
150,10000000,1792
160,10000000,1742.8
170,10000000,1693.7
180,10000000,1644.8
190,10000000,1596
200,10000000,1547.4
210,10000000,1499
220,10000000,1450.9
230,10000000,1403.1
240,10000000,1355.8
250,10000000,1309.1
260,10000000,1262.9
270,10000000,1217.3
280,10000000,1172.3
290,10000000,1128
300,10000000,1084.4
310,10000000,1041.4
320,10000000,999.14
330,10000000,957.51
340,10000000,916.51
350,10000000,876.14
360,10000000,836.37
370,10000000,797.2
380,10000000,758.61
390,10000000,720.61
400,10000000,683.19
410,10000000,646.34
420,10000000,610.06
430,10000000,574.37
440,10000000,539.28
450,10000000,504.85
460,10000000,471.14
470,10000000,438.32
480,10000000,406.59
490,10000000,376.29
500,10000000,347.85
510,10000000,321.8
520,10000000,298.7
530,10000000,279.01
540,10000000,263.01
550,10000000,250.66
560,10000000,241.73
570,10000000,235.8
580,10000000,232.44
590,10000000,231.18
600,10000000,231.57
150,30000000,1862.4
160,30000000,1816.6
170,30000000,1771.1
180,30000000,1726.1
190,30000000,1681.3
200,30000000,1636.9
210,30000000,1593
220,30000000,1549.5
230,30000000,1506.5
240,30000000,1464.2
250,30000000,1422.6
260,30000000,1381.8
270,30000000,1341.7
280,30000000,1302.5
290,30000000,1264.2
300,30000000,1226.7
310,30000000,1190.2
320,30000000,1154.6
330,30000000,1119.9
340,30000000,1086.1
350,30000000,1053.2
360,30000000,1021.3
370,30000000,990.34
380,30000000,960.29
390,30000000,931.17
400,30000000,902.98
410,30000000,875.71
420,30000000,849.36
430,30000000,823.93
440,30000000,799.41
450,30000000,775.79
460,30000000,753.07
470,30000000,731.25
480,30000000,710.32
490,30000000,690.28
500,30000000,671.13
510,30000000,652.87
520,30000000,635.49
530,30000000,619
540,30000000,603.38
550,30000000,588.65
560,30000000,574.79
570,30000000,561.8
580,30000000,549.66
590,30000000,538.36
600,30000000,527.88
150,50000000,1927.3
160,50000000,1884.2
170,50000000,1841.7
180,50000000,1799.6
190,50000000,1757.9
200,50000000,1716.6
210,50000000,1675.9
220,50000000,1635.7
230,50000000,1596.2
240,50000000,1557.3
250,50000000,1519.2
260,50000000,1481.8
270,50000000,1445.3
280,50000000,1409.7
290,50000000,1374.9
300,50000000,1341.1
310,50000000,1308.2
320,50000000,1276.3
330,50000000,1245.3
340,50000000,1215.2
350,50000000,1186
360,50000000,1157.8
370,50000000,1130.4
380,50000000,1104
390,50000000,1078.5
400,50000000,1053.8
410,50000000,1030
420,50000000,1007
430,50000000,984.91
440,50000000,963.61
450,50000000,943.1
460,50000000,923.38
470,50000000,904.43
480,50000000,886.22
490,50000000,868.75
500,50000000,852
510,50000000,835.94
520,50000000,820.56
530,50000000,805.84
540,50000000,791.76
550,50000000,778.31
560,50000000,765.47
570,50000000,753.22
580,50000000,741.55
590,50000000,730.43
600,50000000,719.85
