w,T,p
0.452,378.15,8250000
0.431,378.15,9060000
0.397,378.15,9510000
0.364,378.15,9620000
0.304,378.15,9920000
0.264,378.15,10000000
0.257,378.15,9890000
0.224,378.15,9750000
0.197,378.15,9800000
0.1644,378.15,9660000
0.1556,378.15,9820000
0.1153,378.15,9530000
0.0837,378.15,9310000
0.0578,378.15,8650000
0.0409,378.15,7840000
0.0295,378.15,7700000
0.024862,378.15,7560000
0.014325,378.15,6620000
0.452,393.15,10490000
0.431,393.15,11220000
0.397,393.15,11680000
0.364,393.15,11810000
0.304,393.15,12070000
0.264,393.15,12120000
0.257,393.15,12080000
0.224,393.15,11920000
0.197,393.15,11990000
0.1644,393.15,11830000
0.1556,393.15,11940000
0.1153,393.15,11610000
0.0837,393.15,11350000
0.0578,393.15,10660000
0.0409,393.15,9980000
0.0295,393.15,9690000
0.024862,393.15,9550000
0.014325,393.15,8520000
0.452,408.15,12730000
0.431,408.15,13380000
0.397,408.15,13860000
0.364,408.15,13990000
0.304,408.15,14220000
0.264,408.15,14230000
0.257,408.15,14260000
0.224,408.15,14090000
0.197,408.15,14180000
0.1644,408.15,14000000
0.1556,408.15,14050000
0.1153,408.15,13700000
0.0837,408.15,13390000
0.0578,408.15,12660000
0.0409,408.15,12130000
0.0295,408.15,11690000
0.024862,408.15,11540000
0.014325,408.15,10420000
