Clapeyron Estimator
[method=Cp, species=CCC]
T,p,out_Cp
150,10000000,87.971
160,10000000,88.724
170,10000000,89.552
180,10000000,90.468
190,10000000,91.49
200,10000000,92.633
210,10000000,93.91
220,10000000,95.33
230,10000000,96.897
240,10000000,98.616
250,10000000,100.49
260,10000000,102.52
270,10000000,104.72
280,10000000,107.1
290,10000000,109.66
300,10000000,112.43
310,10000000,115.44
320,10000000,118.71
330,10000000,122.31
340,10000000,126.32
350,10000000,130.83
360,10000000,136.02
370,10000000,142.08
380,10000000,149.24
390,10000000,157.68
400,10000000,167.11
410,10000000,176.06
420,10000000,181.4
430,10000000,180.37
440,10000000,174.03
450,10000000,165.89
460,10000000,158.41
470,10000000,152.39
480,10000000,147.82
490,10000000,144.46
500,10000000,142.04
510,10000000,140.37
520,10000000,139.26
530,10000000,138.58
540,10000000,138.25
550,10000000,138.2
560,10000000,138.35
570,10000000,138.67
580,10000000,139.14
590,10000000,139.71
600,10000000,140.37
150,30000000,87.268
160,30000000,87.889
170,30000000,88.572
180,30000000,89.331
190,30000000,90.178
200,30000000,91.123
210,30000000,92.171
220,30000000,93.327
230,30000000,94.59
240,30000000,95.957
250,30000000,97.424
260,30000000,98.983
270,30000000,100.63
280,30000000,102.35
290,30000000,104.15
300,30000000,106
310,30000000,107.91
320,30000000,109.85
330,30000000,111.83
340,30000000,113.83
350,30000000,115.84
360,30000000,117.86
370,30000000,119.88
380,30000000,121.88
390,30000000,123.86
400,30000000,125.81
410,30000000,127.71
420,30000000,129.57
430,30000000,131.36
440,30000000,133.07
450,30000000,134.7
460,30000000,136.23
470,30000000,137.66
480,30000000,138.99
490,30000000,140.2
500,30000000,141.32
510,30000000,142.34
520,30000000,143.28
530,30000000,144.15
540,30000000,144.96
550,30000000,145.72
560,30000000,146.45
570,30000000,147.16
580,30000000,147.86
590,30000000,148.55
600,30000000,149.25
150,50000000,86.81
160,50000000,87.346
170,50000000,87.942
180,50000000,88.61
190,50000000,89.36
200,50000000,90.2
210,50000000,91.135
220,50000000,92.167
230,50000000,93.296
240,50000000,94.518
250,50000000,95.827
260,50000000,97.218
270,50000000,98.683
280,50000000,100.21
290,50000000,101.8
300,50000000,103.43
310,50000000,105.11
320,50000000,106.81
330,50000000,108.53
340,50000000,110.27
350,50000000,112.01
360,50000000,113.75
370,50000000,115.49
380,50000000,117.21
390,50000000,118.92
400,50000000,120.6
410,50000000,122.26
420,50000000,123.9
430,50000000,125.5
440,50000000,127.07
450,50000000,128.6
460,50000000,130.1
470,50000000,131.56
480,50000000,132.98
490,50000000,134.36
500,50000000,135.7
510,50000000,137
520,50000000,138.26
530,50000000,139.49
540,50000000,140.68
550,50000000,141.84
560,50000000,142.97
570,50000000,144.07
580,50000000,145.15
590,50000000,146.2
600,50000000,147.24
