Clapeyron Estimator,
[method=Cv, species=CCC]
T,P,p,out_Cv
150,10,10000000,59.412
160,10,10000000,59.604
170,10,10000000,59.887
180,10,10000000,60.279
190,10,10000000,60.791
200,10,10000000,61.429
210,10,10000000,62.193
220,10,10000000,63.077
230,10,10000000,64.075
240,10,10000000,65.181
250,10,10000000,66.389
260,10,10000000,67.694
270,10,10000000,69.091
280,10,10000000,70.573
290,10,10000000,72.132
300,10,10000000,73.76
310,10,10000000,75.45
320,10,10000000,77.196
330,10,10000000,78.995
340,10,10000000,80.847
350,10,10000000,82.75
360,10,10000000,84.709
370,10,10000000,86.727
380,10,10000000,88.804
390,10,10000000,90.933
400,10,10000000,93.084
410,10,10000000,95.173
420,10,10000000,97.072
430,10,10000000,98.689
440,10,10000000,100.06
450,10,10000000,101.29
460,10,10000000,102.48
470,10,10000000,103.68
480,10,10000000,104.92
490,10,10000000,106.2
500,10,10000000,107.51
510,10,10000000,108.85
520,10,10000000,110.22
530,10,10000000,111.61
540,10,10000000,113.02
550,10,10000000,114.43
560,10,10000000,115.85
570,10,10000000,117.27
580,10,10000000,118.68
590,10,10000000,120.1
600,10,10000000,121.5
150,30,30000000,60.214
160,30,30000000,60.425
170,30,30000000,60.726
180,30,30000000,61.13
190,30,30000000,61.647
200,30,30000000,62.282
210,30,30000000,63.036
220,30,30000000,63.905
230,30,30000000,64.886
240,30,30000000,65.973
250,30,30000000,67.16
260,30,30000000,68.439
270,30,30000000,69.804
280,30,30000000,71.246
290,30,30000000,72.756
300,30,30000000,74.324
310,30,30000000,75.942
320,30,30000000,77.603
330,30,30000000,79.299
340,30,30000000,81.022
350,30,30000000,82.767
360,30,30000000,84.527
370,30,30000000,86.297
380,30,30000000,88.07
390,30,30000000,89.843
400,30,30000000,91.61
410,30,30000000,93.367
420,30,30000000,95.109
430,30,30000000,96.835
440,30,30000000,98.54
450,30,30000000,100.22
460,30,30000000,101.88
470,30,30000000,103.51
480,30,30000000,105.12
490,30,30000000,106.71
500,30,30000000,108.26
510,30,30000000,109.8
520,30,30000000,111.31
530,30,30000000,112.8
540,30,30000000,114.27
550,30,30000000,115.73
560,30,30000000,117.17
570,30,30000000,118.59
580,30,30000000,119.99
590,30,30000000,121.39
600,30,30000000,122.77
150,50,50000000,60.951
160,50,50000000,61.175
170,50,50000000,61.488
180,50,50000000,61.901
190,50,50000000,62.423
200,50,50000000,63.058
210,50,50000000,63.809
220,50,50000000,64.673
230,50,50000000,65.647
240,50,50000000,66.726
250,50,50000000,67.905
260,50,50000000,69.176
270,50,50000000,70.531
280,50,50000000,71.961
290,50,50000000,73.458
300,50,50000000,75.012
310,50,50000000,76.615
320,50,50000000,78.259
330,50,50000000,79.935
340,50,50000000,81.638
350,50,50000000,83.36
360,50,50000000,85.096
370,50,50000000,86.84
380,50,50000000,88.587
390,50,50000000,90.332
400,50,50000000,92.073
410,50,50000000,93.806
420,50,50000000,95.527
430,50,50000000,97.235
440,50,50000000,98.927
450,50,50000000,100.6
460,50,50000000,102.26
470,50,50000000,103.9
480,50,50000000,105.51
490,50,50000000,107.11
500,50,50000000,108.69
510,50,50000000,110.25
520,50,50000000,111.78
530,50,50000000,113.3
540,50,50000000,114.8
550,50,50000000,116.28
560,50,50000000,117.74
570,50,50000000,119.18
580,50,50000000,120.6
590,50,50000000,122.01
600,50,50000000,123.4
