T,P,p,Cv,Cp,u,Phase
200,0.1,100000,60.96997829,93.7694394,1366.096488,liquid
210,0.1,100000,61.74436212,95.25878439,1299.665062,liquid
220,0.1,100000,62.64467153,96.93976917,1233.543957,liquid
230,0.1,100000,63.66222343,98.83186137,1167.65697,liquid
230.7382616,0.1,100000,63.74177883,98.98048178,1162.797458,liquid
230.7382616,0.1,100000,53.61623523,63.44094285,218.3303103,vapor
240,0.1,100000,55.06237913,64.67322661,222.947376,vapor
250,0.1,100000,56.69167836,66.11676508,227.7365678,vapor
260,0.1,100000,58.38943251,67.66464873,232.3488786,vapor
270,0.1,100000,60.14940023,69.30221455,236.8067845,vapor
280,0.1,100000,61.96344115,71.01509716,241.1289468,vapor
290,0.1,100000,63.82300507,72.79014658,245.3309339,vapor
300,0.1,100000,65.71989471,74.61574721,249.425785,vapor
310,0.1,100000,67.64656869,76.48178882,253.4244679,vapor
320,0.1,100000,69.5962025,78.37948691,257.3362524,vapor
330,0.1,100000,71.56263308,80.30115761,261.1690171,vapor
340,0.1,100000,73.54032226,82.2400626,264.9294875,vapor
350,0.1,100000,75.52426607,84.19023451,268.6234366,vapor
360,0.1,100000,77.50992437,86.14635135,272.2558516,vapor
370,0.1,100000,79.49323247,88.10370665,275.8310537,vapor
380,0.1,100000,81.47054501,90.05812338,279.3528089,vapor
390,0.1,100000,83.43861697,92.0059135,282.8244157,vapor
400,0.1,100000,85.39458728,93.94384501,286.2487767,vapor
410,0.1,100000,87.33595859,95.86910882,289.6284585,vapor
420,0.1,100000,89.26057625,97.7792874,292.9657426,vapor
430,0.1,100000,91.16660592,99.67232421,296.2626666,vapor
440,0.1,100000,93.05251006,101.5464934,299.52106,vapor
450,0.1,100000,94.91702342,103.4003697,302.7425738,vapor
460,0.1,100000,96.75912824,105.2327991,305.9287051,vapor
470,0.1,100000,98.57802962,107.0428705,309.0808185,vapor
480,0.1,100000,100.3731314,108.8298882,312.2001637,vapor
490,0.1,100000,102.1440131,110.5933461,315.2878906,vapor
500,0.1,100000,103.8904078,112.3329039,318.345062,vapor
510,0.1,100000,105.6121821,114.0483645,321.3726642,vapor
520,0.1,100000,107.3093166,115.7396537,324.3716165,vapor
530,0.1,100000,108.9818892,117.4068015,327.3427789,vapor
540,0.1,100000,110.6300589,119.0499252,330.2869585,vapor
550,0.1,100000,112.2540521,120.6692147,333.2049154,vapor
560,0.1,100000,113.8541495,122.2649189,336.0973678,vapor
570,0.1,100000,115.4306758,123.8373341,338.9649956,vapor
580,0.1,100000,116.9839891,125.3867936,341.8084446,vapor
590,0.1,100000,118.5144733,126.9136592,344.6283295,vapor
600,0.1,100000,120.0225301,128.4183129,347.4252362,vapor
