Clapeyron Estimator
[method=rhol, species=CCC]
T,p,out_rhol
150,10000000,15250.46244
160,10000000,15029.30868
170,10000000,14807.36201
180,10000000,14584.19345
190,10000000,14359.40176
200,10000000,14132.58502
210,10000000,13903.31414
220,10000000,13671.11185
230,10000000,13435.43919
240,10000000,13195.6888
250,10000000,12951.17977
260,10000000,12701.14715
270,10000000,12444.72251
280,10000000,12180.90517
290,10000000,11908.52482
300,10000000,11626.19419
310,10000000,11332.24769
320,10000000,11024.65881
330,10000000,10700.92614
340,10000000,10357.91482
350,10000000,9991.639336
360,10000000,9596.981955
370,10000000,9167.380886
380,10000000,8694.672657
390,10000000,8169.719224
400,10000000,7585.493665
410,10000000,6945.518802
420,10000000,6277.180585
430,10000000,5633.895675
440,10000000,5067.169122
450,10000000,4596.797769
460,10000000,4214.872428
470,10000000,3903.995249
480,10000000,3647.619401
490,10000000,3432.76573
500,10000000,3249.841121
150,30000000,15458.30889
160,30000000,15253.01743
170,30000000,15048.39469
180,30000000,14844.16586
190,30000000,14640.09885
200,30000000,14435.9872
210,30000000,14231.63677
220,30000000,14026.85789
230,30000000,13821.46302
240,30000000,13615.26837
250,30000000,13408.0968
260,30000000,13199.77993
270,30000000,12990.15923
280,30000000,12779.08694
290,30000000,12566.4279
300,30000000,12352.06231
310,30000000,12135.88957
320,30000000,11917.83243
330,30000000,11697.84157
340,30000000,11475.90015
350,30000000,11252.02855
360,30000000,11026.28907
370,30000000,10798.79091
380,30000000,10569.69515
390,30000000,10339.21997
400,30000000,10107.64579
410,30000000,9875.32015
420,30000000,9642.661532
430,30000000,9410.161343
440,30000000,9178.382655
450,30000000,8947.954378
460,30000000,8719.559675
470,30000000,8493.918111
480,30000000,8271.762087
490,30000000,8053.809361
500,30000000,7840.734471
150,50000000,15645.13216
160,50000000,15452.20265
170,50000000,15260.79688
180,50000000,15070.69312
190,50000000,14881.71225
200,50000000,14693.70515
210,50000000,14506.54314
220,50000000,14320.11239
230,50000000,14134.31161
240,50000000,13949.05185
250,50000000,13764.25686
260,50000000,13579.86333
270,50000000,13395.82078
280,50000000,13212.09151
290,50000000,13028.65092
300,50000000,12845.4879
310,50000000,12662.60542
320,50000000,12480.02094
330,50000000,12297.76653
340,50000000,12115.88888
350,50000000,11934.44901
360,50000000,11753.52171
370,50000000,11573.19493
380,50000000,11393.56887
390,50000000,11214.7551
400,50000000,11036.87547
410,50000000,10860.06104
420,50000000,10684.45088
430,50000000,10510.19095
440,50000000,10337.43276
450,50000000,10166.33203
460,50000000,9997.047251
470,50000000,9829.738037
480,50000000,9664.563305
490,50000000,9501.679315
500,50000000,9341.237533
