Clapeyron Estimator
[method=saturation_p, species=CCC]
T,out_p
147,1.97E+02
152,3.58E+02
157,6.22E+02
162,1.04E+03
167,1.68E+03
172,2.63E+03
177,3.99E+03
182,5.91E+03
187,8.55E+03
192,1.21E+04
197,1.68E+04
202,2.28E+04
207,30490
212,40156
217,52130
222,66780
227,84498
232,105700
237,130840
242,160370
247,194770
252,234550
257,280230
262,332330
267,391400
272,458010
277,532720
282,616130
287,708820
292,811400
297,924500
302,1048800
307,1184800
312,1333400
317,1495200
322,1670800
327,1861200
332,2067100
