Clapeyron Estimator
[method=saturation_rhol, species=CCC],
T,out_rhol,
88,16545.90637,
92,16462.24727,
96,16378.97369,
99,16296.04029,
103,16213.40169,
106,16131.03524,
110,16048.91824,
113,15966.98266,
117,15885.22851,
120,15803.58775,
124,15722.06038,
128,15640.60104,
131,15559.16438,
135,15477.70504,
138,15396.2457,
142,15314.69565,
145,15233.05489,
149,15151.27806,
152,15069.34249,
156,14987.20281,
160,14904.88171,
163,14822.28847,
167,14739.4231,
170,14656.28559,
174,14572.80791,
177,14488.99006,
181,14404.78669,
184,14320.19779,
188,14235.15533,
192,14149.68199,
195,14063.73241,
199,13977.23856,
202,13890.22311,
206,13802.64072,
209,13714.42334,
213,13625.57098,
216,13536.03827,
220,13445.7572,
224,13354.70507,
227,13262.83654,
231,13170.10624,
234,13076.44614,
238,12981.83357,
241,12886.15513,
245,12789.38815,
248,12691.44192,
252,12592.27107,
256,12491.7849,
259,12389.89269,
263,12286.52642,
266,12181.57268,
270,12074.96345,
273,11966.53999,
277,11856.18889,
280,11743.79678,
284,11629.22757,
288,11512.27718,
291,11392.78686,
295,11270.55249,
298,11145.34732,
302,11016.89918,
305,10884.95864,
309,10749.14016,
312,10609.0809,
316,10464.3273,
320,10314.35775,
323,10158.53729,
327,9996.09485,
330,9826.100642,
334,9647.398086,
337,9458.490435,
341,9257.472738,
344,9041.737025,
348,8807.609463,
352,8549.760725,
355,8259.867987,
359,7923.621439,
362,7512.333424,
366,6948.649322,
369,5351.461211,
