Clapeyron Estimator,,
[method=u, species=CCC],
T,p,out_u
150,10000000,1745.5
160,10000000,1682.1
170,10000000,1618.9
180,10000000,1556.2
190,10000000,1493.8
200,10000000,1432
210,10000000,1370.8
220,10000000,1310.5
230,10000000,1250.9
240,10000000,1192.1
250,10000000,1134
260,10000000,1076.5
270,10000000,1019.7
280,10000000,963.42
290,10000000,907.76
300,10000000,852.66
310,10000000,798.09
320,10000000,743.99
330,10000000,690.34
340,10000000,637.11
350,10000000,584.33
360,10000000,532.08
370,10000000,480.61
380,10000000,430.46
390,10000000,382.64
400,10000000,338.98
410,10000000,302.16
420,10000000,274.95
430,10000000,258.56
440,10000000,251.46
450,10000000,250.62
460,10000000,253.39
470,10000000,258.06
480,10000000,263.68
490,10000000,269.71
500,10000000,275.88
510,10000000,282.03
520,10000000,288.07
530,10000000,293.98
540,10000000,299.73
550,10000000,305.3
560,10000000,310.72
570,10000000,315.97
580,10000000,321.06
590,10000000,326.01
600,10000000,330.81
150,30000000,1829.4
160,30000000,1771.3
170,30000000,1713.8
180,30000000,1657.2
190,30000000,1601.3
200,30000000,1546.4
210,30000000,1492.4
220,30000000,1439.6
230,30000000,1388
240,30000000,1337.5
250,30000000,1288.2
260,30000000,1240.1
270,30000000,1193.2
280,30000000,1147.7
290,30000000,1103.4
300,30000000,1060.5
310,30000000,1018.9
320,30000000,978.72
330,30000000,939.96
340,30000000,902.65
350,30000000,866.81
360,30000000,832.48
370,30000000,799.7
380,30000000,768.48
390,30000000,738.87
400,30000000,710.87
410,30000000,684.52
420,30000000,659.82
430,30000000,636.78
440,30000000,615.42
450,30000000,595.72
460,30000000,577.67
470,30000000,561.25
480,30000000,546.41
490,30000000,533.11
500,30000000,521.28
510,30000000,510.84
520,30000000,501.7
530,30000000,493.76
540,30000000,486.94
550,30000000,481.12
560,30000000,476.22
570,30000000,472.14
580,30000000,468.79
590,30000000,466.11
600,30000000,464.01
150,50000000,1905.1
160,50000000,1850.9
170,50000000,1797.7
180,50000000,1745.3
190,50000000,1694
200,50000000,1643.7
210,50000000,1594.5
220,50000000,1546.5
230,50000000,1499.7
240,50000000,1454.1
250,50000000,1409.8
260,50000000,1366.8
270,50000000,1325.1
280,50000000,1284.7
290,50000000,1245.7
300,50000000,1208
310,50000000,1171.7
320,50000000,1136.8
330,50000000,1103.2
340,50000000,1071
350,50000000,1040.2
360,50000000,1010.7
370,50000000,982.49
380,50000000,955.62
390,50000000,930.04
400,50000000,905.72
410,50000000,882.65
420,50000000,860.79
430,50000000,840.1
440,50000000,820.57
450,50000000,802.16
460,50000000,784.84
470,50000000,768.57
480,50000000,753.32
490,50000000,739.06
500,50000000,725.76
510,50000000,713.37
520,50000000,701.86
530,50000000,691.2
540,50000000,681.35
550,50000000,672.26
560,50000000,663.91
570,50000000,656.25
580,50000000,649.24
590,50000000,642.84
600,50000000,637.01
