component,property,percent_AAD_lit,percent_AAD_fit
ethane,Speed of sound,2.3809111789241943,3.486653718257637
ethane,Isobaric heat capacity,3.1939785520695976,2.3535547524018487
ethane,Isochoric heat capacity,8.61443846551594e9,8.266011024659159e9
propane,Speed of sound,1.0787293851118585,1.3544817466436123
propane,Isobaric heat capacity,1.772982153492817,1.828766305195463
propane,Isochoric heat capacity,Inf,Inf
butane,Speed of sound,0.7107230066029048,0.96238762878027
butane,Isobaric heat capacity,1.9292790824842687,2.503233180977097
butane,Isochoric heat capacity,Inf,Inf
pentane,Speed of sound,1.1112500808813273,1.716152038402211
pentane,Isobaric heat capacity,1.7105198808929925,2.425695855116706
pentane,Isochoric heat capacity,Inf,Inf
hexane,Speed of sound,1.3230323088426508,2.1714726407477767
hexane,Isobaric heat capacity,0.7950804262980075,1.4104045490184474
hexane,Isochoric heat capacity,Inf,Inf
heptane,Speed of sound,1.5160678425422132,2.793829956474845
heptane,Isobaric heat capacity,1.1900339382690723,1.9332355645827697
heptane,Isochoric heat capacity,Inf,Inf
octane,Speed of sound,1.7330869353953575,3.0876299947765804
octane,Isobaric heat capacity,0.516604451738224,1.0242181725818484
octane,Isochoric heat capacity,Inf,Inf
nonane,Speed of sound,2.1194419119133383,4.155105730828369
nonane,Isobaric heat capacity,0.5019466716778577,1.1752494321149012
nonane,Isochoric heat capacity,Inf,Inf
decane,Speed of sound,2.4033329140506807,4.371090118137002
decane,Isobaric heat capacity,0.4778751413073329,0.9171514205174588
decane,Isochoric heat capacity,Inf,Inf
Average,Speed of sound,1.5973972849182807,2.6776448414498115
Average,Isobaric heat capacity,1.34314447758113,1.730167692500727
Average,Isochoric heat capacity,Inf,Inf
